Date	Open	High	Low	Close	Adj Close	Volume
10/28/2020	121.010002	121.529999	118.32	118.470001	118.470001	11654700
10/29/2020	118.160004	122.629997	117.230003	121.540001	121.540001	9583700
10/30/2020	120.639999	121.75	119.089996	121.25	121.25	8090200
11/2/2020	122.239998	122.93	119.809998	120.129997	120.129997	9186000
11/3/2020	121.610001	125.07	121.370003	124.019997	124.019997	8144900
11/4/2020	123.580002	126.860001	123.410004	125.07	125.07	7483000
11/5/2020	126.779999	128.619995	125.800003	126.959999	126.959999	7654800
11/6/2020	126.260002	128.039993	124.610001	127.459999	127.459999	6259700
11/9/2020	140.259995	147.679993	138.070007	142.589996	142.589996	35634700
11/10/2020	139.970001	142.369995	137.669998	142.110001	142.110001	18115400
11/11/2020	141.470001	142	136.619995	137.820007	137.820007	9600900
11/12/2020	136.339996	138.490005	134.100006	135.520004	135.520004	13768200
11/13/2020	140.899994	141.190002	136.520004	138.360001	138.360001	21062300
11/16/2020	141.570007	144.740005	141.570007	144.669998	144.669998	16382500
11/17/2020	144.399994	144.830002	142.559998	144.5	144.5	9354900
11/18/2020	144.5	145.479996	143.350006	143.899994	143.899994	9456200
11/19/2020	142.570007	143.300003	141.699997	141.720001	141.720001	8892500
11/20/2020	141.710007	142.610001	140.860001	141.070007	141.070007	8481600
11/23/2020	142.449997	147.75	141.699997	145.979996	145.979996	12887000
11/24/2020	148.160004	151.860001	147.850006	151.490005	151.490005	16711700
11/25/2020	150.270004	150.270004	147.240005	149.089996	149.089996	9552000
11/27/2020	149	150.350006	146.529999	147.130005	147.130005	5306400
11/30/2020	147.059998	148.690002	146.289993	148.009995	148.009995	9710100
12/1/2020	149.570007	151.399994	149	149.440002	149.440002	8827800
12/2/2020	149.490005	154.009995	148.339996	153.610001	153.610001	10601900
12/3/2020	153.449997	154.440002	152.130005	153.240005	153.240005	9063200
12/4/2020	153.690002	154.679993	152.809998	154.139999	154.139999	6033300
12/7/2020	153.179993	153.880005	152.259995	153.679993	153.679993	6815500
12/8/2020	152.419998	154.880005	152.25	153.720001	153.720001	7900600
12/9/2020	156.289993	157.460007	153.889999	154.429993	154.429993	10804300
12/10/2020	153.320007	155.339996	152.5	154.690002	154.690002	8993200
12/11/2020	169.679993	179.449997	165.330002	175.720001	175.720001	87410700
12/14/2020	173.800003	177.300003	168.809998	169.300003	169.300003	30939400
12/15/2020	170.490005	174.470001	167.820007	173.940002	173.940002	18817200
12/16/2020	173.990005	174.850006	171.619995	173.119995	173.119995	11105800
12/17/2020	173.820007	174.839996	171.960007	173.550003	173.550003	9004600
12/18/2020	173.600006	175.839996	172.279999	172.889999	172.889999	21172100
12/21/2020	170.089996	171.940002	168.190002	170.690002	170.690002	11424200
12/22/2020	170	171.449997	169.160004	170.449997	170.449997	6419200
12/23/2020	172.960007	175.949997	172.300003	173.550003	173.550003	9994000
12/24/2020	173.990005	174.580002	172.380005	173.729996	173.729996	2721000
12/28/2020	175.75	179.919998	175.050003	178.860001	178.860001	13145400
12/29/2020	180.009995	180.199997	176.220001	177.300003	177.300003	6875400
12/30/2020	178.5	183.399994	178.369995	181.169998	181.169998	11680400
12/31/2020	181.220001	183.399994	180.270004	181.179993	181.179993	7073500
1/4/2021	182.259995	182.589996	174.729996	177.679993	177.679993	13426600
1/5/2021	176.199997	180.339996	176.199997	178.440002	178.440002	7771800
1/6/2021	178.320007	181.610001	177.279999	179.119995	179.119995	7517800
1/7/2021	179.5	179.949997	177.580002	178.580002	178.580002	7300800
1/8/2021	178.809998	180.020004	176.600006	178.690002	178.690002	7894500
1/11/2021	177.75	181.259995	177.350006	179.089996	179.089996	6464100
1/12/2021	177.300003	178.320007	174.860001	175.990005	175.990005	8349800
1/13/2021	174.399994	177.729996	173.740005	176.119995	176.119995	6839500
1/14/2021	177.009995	178.350006	173.399994	173.429993	173.429993	8951200
1/15/2021	172.949997	174.190002	170.169998	171.440002	171.440002	12232500
1/19/2021	172.100006	173.710007	171.440002	172.259995	172.259995	7834700
1/20/2021	175.220001	177.880005	173	173.639999	173.639999	9809200
1/21/2021	173.240005	175	171.020004	171.279999	171.279999	8423900
1/22/2021	174	175.25	171.889999	172.779999	172.779999	9517200
1/25/2021	171.889999	173.110001	168.770004	171.889999	171.889999	7833700
1/26/2021	173	173.350006	169.050003	169.559998	169.559998	7523200
1/27/2021	165.009995	166.339996	160.520004	163.029999	163.029999	18239200
1/28/2021	166.169998	172.880005	165.949997	171.880005	171.880005	14449100
1/29/2021	168.800003	169.809998	165.789993	168.169998	168.169998	12840900
2/1/2021	170.839996	171.729996	168.029999	170.970001	170.970001	8140400
2/2/2021	173.770004	179.759995	172.800003	176.960007	176.960007	12215200
2/3/2021	177	178.429993	175.759995	176.429993	176.429993	5508600
2/4/2021	177.589996	181.380005	176.490005	180.229996	180.229996	9035400
2/5/2021	181.710007	182.320007	179.330002	181.160004	181.160004	6597700
2/8/2021	183.850006	190.639999	183.300003	190	190	16085700
2/9/2021	188.169998	189.25	186.039993	188.210007	188.210007	11270800
2/10/2021	189.979996	190.699997	185.809998	189.630005	189.630005	11464600
2/11/2021	189.179993	191.25	188.070007	190.910004	190.910004	17325200
