Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,37.599998,40.009998,37.119999,38.150002,38.150002,27173700
2020-10-29,39.099998,39.349998,37.270000,37.369999,37.369999,19740600
2020-10-30,37.430000,38.180000,34.900002,35.400002,35.400002,24856800
2020-11-02,35.570000,36.669998,35.020000,35.720001,35.720001,18077400
2020-11-03,36.330002,37.759998,35.840000,37.470001,37.470001,19587600
2020-11-04,39.430000,40.790001,38.330002,39.459999,39.459999,28877500
2020-11-05,41.270000,43.599998,40.820000,43.029999,43.029999,31924100
2020-11-06,42.230000,42.660000,41.169998,42.320000,42.320000,18198500
2020-11-09,44.169998,44.490002,41.470001,41.500000,41.500000,21113400
2020-11-10,40.790001,41.090000,38.439999,40.360001,40.360001,17118800
2020-11-11,40.770000,41.867001,39.750000,41.639999,41.639999,12613500
2020-11-12,40.939999,42.090000,40.860001,41.250000,41.250000,14407200
2020-11-13,45.400002,45.500000,42.220001,42.840000,42.840000,50356100
2020-11-16,42.400002,42.820000,40.810001,42.730000,42.730000,15999600
2020-11-17,44.200001,46.830002,43.250000,46.610001,46.610001,33970500
2020-11-18,47.099998,49.060001,46.630001,47.680000,47.680000,35497900
2020-11-19,48.750000,50.020000,48.139999,49.320000,49.320000,25892100
2020-11-20,49.790001,50.049999,47.389999,48.230000,48.230000,25416700
2020-11-23,48.500000,48.880001,46.900002,48.029999,48.029999,18142500
2020-11-24,48.346001,49.040001,46.610001,47.889999,47.889999,17707600
2020-11-25,47.790001,51.080002,47.770000,50.230000,50.230000,23223100
2020-11-27,51.820000,52.980000,50.707001,52.750000,52.750000,15833100
2020-11-30,53.500000,53.720001,49.080002,52.360001,52.360001,24757400
2020-12-01,52.355999,52.660000,49.939999,50.779999,50.779999,15613500
2020-12-02,49.360001,51.490002,48.419998,51.099998,51.099998,11952600
2020-12-03,50.099998,51.840000,49.549999,50.060001,50.060001,14833500
2020-12-04,50.243000,50.950001,49.080002,49.250000,49.250000,13044000
2020-12-07,49.410000,50.580002,47.630001,47.930000,47.930000,15649000
2020-12-08,47.490002,50.904999,45.709999,50.849998,50.849998,28733500
2020-12-09,50.099998,53.439999,48.330002,48.939999,48.939999,36523000
2020-12-10,48.330002,50.169998,47.776001,50.110001,50.110001,13172800
2020-12-11,49.970001,51.299999,48.943001,50.090000,50.090000,14363900
2020-12-14,50.980000,51.540001,49.770000,50.580002,50.580002,12597000
2020-12-15,51.150002,51.180000,49.810001,50.500000,50.500000,11735700
2020-12-16,50.820000,54.340000,50.130001,53.799999,53.799999,26323200
2020-12-17,53.970001,55.470001,52.799999,55.200001,55.200001,21196300
2020-12-18,55.169998,55.980000,52.130001,53.900002,53.900002,21257500
2020-12-21,51.950001,54.240002,51.799999,53.340000,53.340000,12148000
2020-12-22,53.849998,54.400002,50.880001,52.400002,52.400002,12317800
2020-12-23,52.576000,54.730999,51.410000,53.889999,53.889999,13863800
2020-12-24,54.000000,54.487000,51.950001,52.110001,52.110001,6275300
2020-12-28,52.360001,52.619999,48.560001,48.959999,48.959999,15618600
2020-12-29,49.040001,49.500000,47.279999,48.110001,48.110001,13393800
2020-12-30,48.060001,49.990002,47.750000,48.950001,48.950001,9497200
2020-12-31,48.897999,48.950001,46.520000,46.560001,46.560001,14606500
2021-01-04,47.000000,47.230000,44.500000,44.860001,44.860001,14106500
2021-01-05,44.349998,47.779999,44.104000,47.580002,47.580002,15146800
2021-01-06,51.341999,51.799999,47.919998,48.994999,48.994999,40876800
2021-01-07,50.060001,50.400002,49.215000,49.770000,49.770000,13108800
2021-01-08,50.310001,52.619999,49.910000,52.000000,52.000000,18242400
2021-01-11,50.900002,54.299999,49.810001,53.599998,53.599998,14488700
2021-01-12,53.919998,55.580002,52.709999,53.389999,53.389999,17054900
2021-01-13,53.509998,55.230000,52.619999,54.630001,54.630001,11517600
2021-01-14,55.070000,56.770000,54.599998,54.919998,54.919998,11362000
2021-01-15,54.509998,55.029999,51.700001,53.700001,53.700001,10013600
2021-01-19,53.830002,53.919998,50.779999,51.290001,51.290001,16063800
2021-01-20,53.924999,54.099998,52.070000,53.180000,53.180000,11507500
2021-01-21,53.580002,54.445000,52.660000,53.560001,53.560001,8633700
2021-01-22,52.889999,53.560001,51.750000,52.529999,52.529999,9262400
2021-01-25,52.959999,53.639999,49.680000,51.290001,51.290001,13377600
2021-01-26,53.680000,56.520000,52.849998,54.060001,54.060001,24225800
2021-01-27,53.630001,56.689999,52.090000,54.270000,54.270000,19397200
2021-01-28,54.009998,57.889999,52.750000,56.169998,56.169998,21573800
2021-01-29,56.990002,57.540001,52.610001,54.110001,54.110001,16429400
2021-02-01,54.540001,55.750000,53.141998,54.639999,54.639999,11008700
2021-02-02,58.459999,60.950001,57.419998,59.310001,59.310001,31613900
2021-02-03,60.090000,60.849998,58.389999,60.110001,60.110001,12745100
2021-02-04,62.330002,63.169998,60.841000,63.160000,63.160000,16945000
2021-02-05,63.900002,64.510002,62.410000,63.869999,63.869999,16462700
2021-02-08,64.720001,64.779999,60.580002,61.970001,61.970001,19914900
2021-02-09,62.362000,63.689999,61.709999,62.130001,62.130001,11989800
2021-02-10,62.840000,63.820000,61.020000,62.709999,62.709999,10321400
2021-02-11,62.240002,62.548000,58.639999,59.189999,59.189999,14585800
2021-02-12,59.259998,61.169998,59.200001,61.070000,61.070000,7583700
2021-02-16,61.549999,61.730000,59.939999,60.500000,60.500000,6184300
2021-02-17,59.950001,60.029999,57.634998,58.860001,58.860001,9093700
2021-02-18,57.860001,58.860001,56.515999,58.279999,58.279999,7262300
2021-02-19,60.389999,61.826000,59.485001,60.910000,60.910000,11456200
2021-02-22,61.549999,63.250000,60.174000,60.369999,60.369999,10018200
2021-02-23,57.230000,60.439999,52.669998,60.270000,60.270000,17481100
2021-02-24,60.514999,60.830002,58.240002,60.279999,60.279999,7356800
2021-02-25,60.389999,61.630001,57.209999,57.810001,57.810001,14776100
2021-02-26,60.000000,62.669998,58.270000,61.529999,61.529999,25952800
2021-03-01,63.480000,68.900002,63.250000,68.720001,68.720001,35787200
2021-03-02,68.010002,70.379997,66.889999,68.580002,68.580002,21930700
2021-03-03,71.830002,72.160004,64.890999,65.750000,65.750000,26283800
2021-03-04,67.169998,68.110001,60.259998,61.910000,61.910000,28018400
2021-03-05,62.060001,62.500000,54.349998,59.520000,59.520000,25818100
2021-03-08,60.849998,62.310001,59.599998,60.500000,60.500000,14691300
2021-03-09,64.000000,64.830002,61.950001,62.200001,62.200001,17003800
2021-03-10,64.529999,70.599998,63.790001,69.290001,69.290001,36212100
