Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,68.949997,69.470001,65.489998,65.739998,65.739998,6044000
2020-10-29,68.349998,74.539001,66.230003,71.279999,71.279999,13776400
2020-10-30,70.800003,71.489998,66.849998,67.470001,67.470001,7070500
2020-11-02,68.019997,68.599998,66.550003,67.110001,67.110001,4650300
2020-11-03,66.750000,69.250000,66.589996,69.080002,69.080002,4366900
2020-11-04,68.970001,71.550003,68.918999,69.809998,69.809998,5442100
2020-11-05,71.089996,71.589996,70.160004,71.480003,71.480003,4449900
2020-11-06,71.419998,74.160004,70.870003,72.449997,72.449997,5841000
2020-11-09,77.750000,80.250000,75.419998,77.739998,77.739998,20266800
2020-11-10,80.000000,80.379997,73.519997,76.050003,76.050003,10499400
2020-11-11,77.050003,83.980003,76.129997,82.440002,82.440002,18576500
2020-11-12,85.180000,87.930000,83.830002,87.809998,87.809998,21700100
2020-11-13,86.620003,90.529999,85.220001,89.389999,89.389999,14121100
2020-11-16,100.309998,103.199997,93.300003,97.949997,97.949997,70853100
2020-11-17,97.230003,97.800003,91.599998,93.150002,93.150002,26172000
2020-11-18,93.870003,94.000000,88.610001,88.889999,88.889999,21823500
2020-11-19,90.000000,94.650002,89.511002,92.769997,92.769997,16002000
2020-11-20,95.000000,98.430000,94.820000,97.610001,97.610001,15306300
2020-11-23,100.769997,101.769997,98.620003,101.029999,101.029999,16359600
2020-11-24,98.400002,99.889999,93.540001,98.559998,98.559998,12515300
2020-11-25,99.029999,109.290001,98.650002,109.180000,109.180000,25850700
2020-11-27,115.120003,130.059998,114.860001,127.029999,127.029999,43438500
2020-11-30,144.000000,153.869995,141.050003,152.740005,152.740005,73203100
2020-12-01,177.660004,178.500000,130.330002,141.009995,141.009995,125552300
2020-12-02,138.630005,149.800003,128.100006,143.000000,143.000000,51217300
2020-12-03,143.500000,159.110001,143.009995,157.259995,157.259995,38656500
2020-12-04,157.589996,157.820007,148.509995,152.520004,152.520004,27704800
2020-12-07,155.029999,163.979996,152.970001,159.520004,159.520004,31409800
2020-12-08,165.750000,170.509995,164.300003,169.860001,169.860001,27738700
2020-12-09,170.199997,170.800003,147.199997,156.589996,156.589996,40951700
2020-12-10,151.130005,159.500000,148.009995,155.690002,155.690002,22060000
2020-12-11,159.699997,163.750000,155.889999,156.929993,156.929993,22069900
2020-12-14,163.399994,163.761002,152.561005,155.070007,155.070007,22467700
2020-12-15,157.000000,157.279999,142.460007,147.220001,147.220001,36451300
2020-12-16,137.750000,141.334000,134.309998,137.029999,137.029999,28476300
2020-12-17,137.919998,146.970001,137.300003,144.000000,144.000000,32404500
2020-12-18,141.509995,145.000000,135.059998,140.229996,140.229996,33157800
2020-12-21,140.839996,147.259995,137.789993,138.300003,138.300003,23921000
2020-12-22,139.000000,141.399994,123.000000,125.879997,125.879997,36035800
2020-12-23,120.050003,132.000000,115.000000,130.339996,130.339996,41905000
2020-12-24,125.940002,129.699997,122.720001,123.389999,123.389999,12720600
2020-12-28,120.040001,122.879997,111.050003,111.400002,111.400002,31088200
2020-12-29,107.795998,116.250000,106.879997,114.389999,114.389999,23718800
2020-12-30,118.400002,118.941002,108.800003,111.129997,111.129997,23965500
2020-12-31,110.550003,113.550003,102.660004,104.470001,104.470001,23369900
2021-01-04,107.230003,113.629997,103.260002,111.730003,111.730003,22439600
2021-01-05,113.820000,114.980003,107.199997,109.180000,109.180000,15450800
2021-01-06,111.110001,116.930000,110.279999,116.260002,116.260002,21590900
2021-01-07,120.099998,122.820000,112.129997,115.089996,115.089996,20614100
2021-01-08,116.519997,117.709999,111.489998,112.750000,112.750000,12376900
2021-01-11,112.750000,121.239998,112.620003,117.260002,117.260002,16650600
2021-01-12,117.930000,124.910004,117.120003,124.550003,124.550003,15300700
2021-01-13,123.699997,127.580002,120.739998,124.059998,124.059998,14324600
2021-01-14,122.800003,130.979996,122.800003,129.720001,129.720001,13346700
2021-01-15,129.600006,133.289993,126.580002,129.649994,129.649994,15769500
2021-01-19,122.099998,126.360001,120.500000,125.010002,125.010002,16528900
2021-01-20,124.510002,126.010002,122.250000,125.139999,125.139999,8001600
2021-01-21,125.279999,137.000000,125.250000,132.979996,132.979996,20880800
2021-01-22,132.500000,135.869995,128.899994,131.020004,131.020004,10067200
2021-01-25,138.399994,147.429993,137.250000,147.000000,147.000000,26970900
2021-01-26,145.149994,154.550003,145.000000,151.929993,151.929993,16964700
2021-01-27,151.199997,164.550003,149.000000,155.729996,155.729996,20262900
2021-01-28,154.104996,168.000000,153.619995,159.550003,159.550003,16497400
2021-01-29,174.990005,185.979996,166.199997,173.160004,173.160004,39687300
2021-02-01,173.029999,174.500000,154.300003,157.479996,157.479996,22056500
2021-02-02,158.520004,159.054001,147.100006,158.580002,158.580002,14923900
2021-02-03,156.600006,168.389999,156.399994,165.860001,165.860001,11355900
2021-02-04,166.419998,173.729996,164.250000,173.309998,173.309998,10618300
2021-02-05,170.990005,177.500000,170.259995,176.240005,176.240005,8976900
2021-02-08,177.000000,189.259995,176.809998,185.979996,185.979996,12927400
2021-02-09,186.210007,187.000000,177.270004,179.520004,179.520004,8403100
2021-02-10,182.740005,185.220001,176.369995,179.339996,179.339996,7067500
2021-02-11,178.289993,184.220001,176.199997,183.440002,183.440002,5432200
2021-02-12,184.889999,185.000000,177.580002,183.740005,183.740005,5695400
2021-02-16,182.410004,184.179993,173.509003,178.529999,178.529999,6917500
2021-02-17,174.279999,178.009995,171.619995,176.759995,176.759995,6554600
2021-02-18,171.593002,175.470001,168.000000,169.570007,169.570007,5124100
2021-02-19,173.539993,179.300003,170.529999,174.740005,174.740005,6413600
2021-02-22,167.800003,170.350006,158.580002,159.369995,159.369995,11152700
2021-02-23,151.250000,153.000000,136.000000,150.169998,150.169998,15509200
2021-02-24,150.410004,151.000000,143.470001,144.789993,144.789993,9757200
2021-02-25,150.779999,160.979996,145.860001,148.380005,148.380005,15172100
2021-02-26,157.979996,159.600006,150.880005,154.809998,154.809998,13445200
2021-03-01,154.462997,157.779999,145.250000,157.399994,157.399994,15337200
2021-03-02,153.500000,154.470993,146.440002,146.809998,146.809998,8611100
2021-03-03,146.089996,147.320007,131.000000,131.220001,131.220001,13659800
2021-03-04,128.699997,135.470001,126.690002,132.300003,132.300003,10914600
